Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Outside Sales Executive,-1,"Outside Sales Executive– Bay Area, Surrounding Areas
Title: Sales Account Executive
Area: California East Bay and Surrounding Areas
Job Type: Full Time Sales
Company: AMPAC Services, Sacramento CA/Hayward CA/Chino CA
AMPAC Services is a leading supplier of packaging materials in the West. We offer a wide range of custom as well as stock products for all shipping and packaging needs. We are a family run business that takes great pride in our success that is driven by long relationships built with our clients, suppliers and employees. We are excited to find a new team member that will expand our presence in the California East Bay Area. The right candidate will be self motivated, possess a strong desire to succeed in sales and must be highly capable of building and maintaining long-term client relationships. The candidate would work remotely out of their home with full support from our team and resources.
Qualifications:
· Self motivated, ability to work unsupervised
· Solid oral and written communication skills
· Aptitude for problem solving – troubleshooting product issues
· Ability to develop and qualify new leads
· Possess general computer and organizational skills
Responsibilities:
· Identify and qualify new potential clients
· Generate profitable new business
· Work directly with clients to maintain relationships
Requirements:
· 2+ years in related industry such as; packaging materials, distribution.
· 3+ years of sales experience
· Valid driver’s license with good record
· Must currently live in the California East Bay or surrounding area.
AMPAC Services Overview:
· Long history of stability and growth in diverse industries
· Excellent compensation and benefits for doing outside sales.
· Commission plan without caps, limits or client aging declines
· Competitive benefits packages
Qualified candidates apply by sending a cover letter and resume detailing your experience and interest in the position to subject line of California East Bay area sales opportunity. AMPAC Services is an Equal Opportunity Employer.
Job Type: Full-time
Benefits:
Dental insurance
Flexible schedule
Health insurance
Schedule:
Monday to Friday
Supplemental Pay:
Commission pay
Experience:
Sales: 3 years (Required)
Packaging related: 2 years (Preferred)
License/Certification:
California Drivers License (Required)
Work Location:
Multiple locations
Paid Training:
Yes
Management:
Key Leader
Company's website:
www.ampacservices.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Yes, occasionally
COVID-19 Precaution(s):
Personal protective equipment provided or required
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",-1,"AMPAC Services, Inc.","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Assistant Manager,$27K-$65K (Glassdoor est.),"Overview:
Beautiful San Francisco property!

Sares Regis Group of Newport Beach, California, is a privately held real estate development, investment and management firm that focuses on commercial properties and multifamily communities in the western U.S. Since its founding in 1993, SRG has developed and acquired more than $7 billion in commercial and residential assets. The company manages a combined portfolio of approximately 25 million square feet of office and industrial space and 20,500 apartment units.

OPPORTUNITY: Assistant Manager - San Francisco, CA (107 units)

**DAYS REQUIRED: TUESDAY THROUGH SATURDAY 9AM TO 6PM**

Sares Regis Group is seeking an experienced property management professional to work at our beautiful 107-unit Etta community! This is a great career opportunity in an ideal location!

ADDITIONAL DUTIES AND RESPONSIBILITIES:
The Assistant Community Manager assumes the Community Manager's supervisory responsibilities in his/her absence.
Assists in the training and development of the team, assists in schedules of employee work times.
Reviews daily rent recommendations and proactively identifies opportunities to maximize income.
Collects current and delinquent rent in accordance with company and property policy. Implements timely legal action, including court appearances. Posts invoices; uses purchase orders; Codes invoices with correct General Ledger (GL) coding; submits security deposit reconciliation timely.
Reviews move in and move out files for thorough and accurate completion; verifies information is timely and accurately entered into the property software system.
Completes or verifies completion of accurate and timely weekly reports. Reviews monthly financial reports with the property manager; assists in completing variance reports.
Assists the Community Manager in resolving resident and prospective resident conflicts.
Reads, follows, and implements the company and employee handbooks, property policy manuals, and any other governing documents.

QUALIFICATIONS
Must have at least 1 year of related property management experience with ability to pass fair housing exam.
Ability to effectively communicate both written and verbal.
Ability to calculate figures and amounts such as: discounts, interest, commissions, proportions, percentages; ability to apply concepts of basic math.
Ability to work independently without direct supervision.
Must have knowledge of operations software used at the property level; Outlook, Internet software, EXCEL, and WORD.
Current driver's license and auto insurance.
Able to work weekends and overtime as job requires.

We offer a competitive compensation package that includes bonuses, medical, dental, vision, 401K match, rental discounts and more!

PLEASE APPLY ONLINE AT:
SARES REGIS CAREER WEBSITE

EQUAL OPPORTUNITY EMPLOYER
All positions contingent on completion of successful background screen and drug test.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",3.7,"Sares Regis Operating Company, L.P.
3.7","San Francisco, CA",-1,501 to 1000 Employees,-1,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD),-1
Amazon Picker/Packer - Earn up to $17.25/hr!,-1,"Warehouse Team Member (Reduced-Time, Part-Time, Flexible Hours)

Shifts:
Early Morning, Day, Evening, Weekend

Location:
455 Valley Drive, Brisbane, CA 94005
Job opportunities vary by location. We update postings daily with open positions.

Salary
Earn $17.25/hr

Immediate openings available now.
Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.

Stay active during your shift in this fast-paced warehouse environment. In this job, you’ll work in a small warehouse. This space is different than our other bigger warehouse buildings, it’s more like the size of a grocery store.
Here are some of the things you’ll get to do:
Use smartphone, manage apps, and scan bar codes
Get grocery orders prepared for delivery
Put new grocery inventory away
Check for order quality
Rotate tasks throughout week
Communicate directly with customers both verbally and in writing
Amazon Fresh offers customers everything from cereal to ice cream. This means that you will work in freezer and refrigerated spaces for parts of your shift. It can be cold, but we’ll provide you with the right gear to stay warm!

Candidates must be 18 years or older with the ability to read and speak English for safety purposes.

Reasons you’ll love working here:
Health and safety are a top priority with all of our roles and sites. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep people healthy.
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Reliable hours: We will give you a stable schedule you can count on.
Benefits: Our range of benefits can include health care starting on day one, employee discounts, 401(k) savings plans, paid time off and more! Find out which benefits you'll get after you choose your role with us.
Career development: Many of our entry-level employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.
Teamwork environment: Work is more fun when you’re part of a great team.



Candidates must be 18 years or older.
Basic qualifications:
High school, GED, or equivalent diploma

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.9,"Amazon Workforce Staffing
3.9","San Francisco, CA",-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Bilingual Intake and Assessment Clinician,$60K-$70K (Employer est.),"Overview:
The Bilingual (Spanish and English) Intake and Assessment Clinician plays a crucial role in allowing children and families to access mental health services quickly. This position is uniquely poised to support clients in accessing all of Seneca’s San Francisco programs: therapy, wraparound, DBT, and more! This role provides early assessment, diagnosis, and documentation for children and families, determining which services are the best fit for the family’s needs. The Intake and Assessment Clinician works collaboratively with the clinicians in each program, providing an intentional, supportive transition as well as ongoing consultation to the client’s longer term clinical team. The Intake and Assessment Clinician also works with our crisis team to do urgent, unplanned assessments for families in the community. If you enjoy flexible, fast-paced clinical work, learning about a variety of presenting issues and diagnoses, and connecting youth to a variety of treatment modalities, this could be the position for you!
Seneca supports clinicians towards licensure and beyond. We provide individual and group supervision, regular clinical case conferences, and licensure and renewal courses led by field experts. Expenses such as outside trainings or licensure fees can be mitigated though your clinical training stipend, and you will receive a $4000 salary increase upon getting licensed. Looking to expand your clinical skills even more? Apply for a Professional Development Scholarship and achieve certifications in areas such as CBT, DBT, EMDR, or Spanish for mental health practitioners. Training and growth opportunities in the agency are abundant, and Seneca is committed to helping you advance in your career!

Seneca’s comprehensive employee benefits package ensures that you are just as supported outside of work. We provide 75% of your medical premium, and full coverage for dental, vision, chiropractic, acupuncture, long term disability, and life insurance. We also cover 50% of premiums for dependents. Our fully-paid Employee Assistance Program provides mental health support as well as work and life services, and you will accrue 5 weeks of paid time off every year.

Seneca is always looking for ways to actively empower and uplift traditionally marginalized communities. We are honored to lead a nationwide effort, Todo Por Mi Familia, a campaign to find and connect families who sought asylum in the United States to mental health services. Seneca’s agency-wide DEI Advisory Board, Employee Resource Groups, and Language Practice Groups help our employees provide culturally and linguistically relevant services to the families we serve.
Responsibilities:
Conduct initial and updated Child and Adolescent Needs and Strengths (CANS) assessments to youth referred to SF Seneca programs.
Work in collaboration with youth, their families, community-based organizations and other providers to conduct assessments that are relevant and reflect the presenting needs of the youth and family.
Collaborate with programs to determine appropriate level and modality of services that would best serve the youth based on the assessment.
Attend treatment team meetings as appropriate.
Complete progress notes and other paperwork, and complete service tracking documentation as indicated.
Participate in weekly supervision with the program supervisor or designee.
Maintain accurate documentation and paperwork.
Qualifications:
Master’s degree in psychology, counseling, or social work required.
BBS eligible required.
Bilingual (Spanish/English) abilities required.
TB test clearance, fingerprinting clearance, and any other licensing or certification requirements.
Own vehicle, California driver’s license and insurance.
Experience working with children in the community.
Ability to work with diverse population.
Schedule:
Full-Time
Flexibility to work evenings and some weekends
Benefits:
Annual performance evaluations provide the opportunity for a salary increase each year
Comprehensive employee benefits package, including 75% paid premiums for medical and fully covered dental, vision, chiropractic, acupuncture, long term disability, and life insurance, as well as 50% paid premiums for dependents
Employer-paid Employee Assistance Plan
5 weeks of flexible paid time off
Excellent clinical training, individual and group supervision, and assistance toward licensure
Training stipend and professional development opportunities
Opportunities to develop specialized skills, including clinical supervision and evidence-based practices",3.7,"Seneca Family of Agencies
3.7","San Francisco, CA",-1,1001 to 5000 Employees,1985,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1
Full Time Associate Veterinarian,-1,"Associate Veterinarian - $5000 sign-on bonus
The Castro Animal Hospital (TCAH) is a family-owned, five doctor hospital located in the bustling Castro/Duboce neighborhood on Church St. near Duboce Dog Park. We have 4 large exam rooms, including one exclusively for cats, a spacious surgical suite, and both in-hospital and online pharmacy. We offer preventive, diagnostic, surgical, and dental services and a full in-house IDEXX laboratory.
With such a high demand for veterinary care in the Castro and surrounding neighborhoods, The Castro Animal Hospital is seeking a skilled associate veterinarian to join our team. Together, we will strive to provide the highest quality of care in our quickly expanding practice.
We offer a highly competitive salary, production-based commission, and an excellent benefits package which include:
Medical and dental health insurance
Paid holiday / vacation leave
Discounted medical services and products
CE expenses
VIN, CVMA, AVMA membership expenses
If you are a compassionate, hardworking, enthusiastic, team orientated veterinarian, come join an organization that is driven to be a leader in San Francisco veterinary care. Visit our website and take a look! https://castroanimalhospital.com
We look forward to you joining our team!
Compensation: $130,000.00 to $170,000.00 /year
Job Type: Full-time
Pay: $130,000.00 - $170,000.00 per year
Benefits:
Dental insurance
Employee discount
Health insurance
Paid time off
Schedule:
10 hour shift
Weekends
Supplemental Pay:
Signing bonus
Experience:
Veterinary Experience: 1 year (Preferred)
Work Location:
One location
This Company Describes Its Culture as:
Team-oriented -- cooperative and collaborative
Company's website:
www.castroanimalhospital.com
Work Remotely:
No",-1,The Castro Animal Hospital,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Amazon Warehouse Worker - Earn $17.25/hr or more!,-1,"Warehouse Team Member (Reduced-Time, Part-Time, Flexible Hours)

Shifts:
Early Morning, Day, Evening, Weekend

Location:
455 Valley Drive, Brisbane, CA 94005
Job opportunities vary by location. We update postings daily with open positions.

Salary
Earn $17.25/hr

Immediate openings available now.
Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.

Stay active during your shift in this fast-paced warehouse environment. In this job, you’ll work in a small warehouse. This space is different than our other bigger warehouse buildings, it’s more like the size of a grocery store.
Here are some of the things you’ll get to do:
Use smartphone, manage apps, and scan bar codes
Get grocery orders prepared for delivery
Put new grocery inventory away
Check for order quality
Rotate tasks throughout week
Communicate directly with customers both verbally and in writing
Amazon Fresh offers customers everything from cereal to ice cream. This means that you will work in freezer and refrigerated spaces for parts of your shift. It can be cold, but we’ll provide you with the right gear to stay warm!

Candidates must be 18 years or older with the ability to read and speak English for safety purposes.

Reasons you’ll love working here:
Health and safety are a top priority with all of our roles and sites. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep people healthy.
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Reliable hours: We will give you a stable schedule you can count on.
Benefits: Our range of benefits can include health care starting on day one, employee discounts, 401(k) savings plans, paid time off and more! Find out which benefits you'll get after you choose your role with us.
Career development: Many of our entry-level employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.
Teamwork environment: Work is more fun when you’re part of a great team.



Candidates must be 18 years or older.
Basic qualifications:
High school, GED, or equivalent diploma

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.9,"Amazon Workforce Staffing
3.9","San Francisco, CA",-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Registered Dietitian,-1,"The Lotus Collaborative (TLC) is looking for a part-time to full-time Registered Dietitian to join their San Francisco eating disorder treatment center. Please note: this job is currently considered remote, but in the near future our program will re-open in person, so candidate should be local (San Francisco area).
TLC specializes in exceptional eating disorder treatment that's client-focused, strength-based, and individualized in a beautiful homelike setting. TLC offers a partial hospitalization program (PHP), an intensive outpatient program (IOP), and outpatient nutrition and counseling services. Visit us at our website at www.thelotuscollaborative.com for more information about our unique health and recovery center.
TLC has a dynamic, personable staff that enjoy working together and they are looking for somebody special to add to their unique team. The ideal candidate is motivated, flexible and hardworking. Ability to work in a fast passed environment is a must. Interested candidates should have a nutrition science education, experience creating meal plans, nutrition education material, a general understanding of eating disorders, how and why diets don't work, and some intuitive eating principles.
The position will provide experience working with the disordered eating population that endorses intuitive eating, overcoming emotional eating and the psychology of eating principles. Given the nature of our clinical work, it is important that staff have a good relationship with their body (don't diet) and with food (have rigid food/diet beliefs and behaviors). We have staff that have both recovered from or have never had an eating disorder themselves.
The Lotus Collaborative serves a diverse population because eating disorders are prevalent in all races, classes, gender identities, sexual orientations, and ages to name a few. To that end, we are committed to inclusion in our staff, and offer special consideration to BIPOC, LGBTQI+ and other persons representing marginalized communities.
Given the relational aspect of our work, our staff must be good role models and have strong interpersonal skills. The position involves delivery of individual nutrition sessions, group education, family and meal support, case management, and participation in a multi-disciplinary treatment team. The position is flexible, and hours vary according to census needs. It includes day, evening and weekend shifts. Compensation is commensurate with experience and qualifications (RD years of experience and more importantly, experience treating and working with eating disorders). Please email a cover letter summarizing relevant experience and qualifications as well as a current resume. Thank you for your interest!
Job Type: Full-time
Pay: $30.00 - $50.00 per hour
Benefits:
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Weekends
COVID-19 considerations:
When in person, staff/clients are screened for COVID exposure, social distancing guidelines are followed, common areas are routinely sanitized. TLC leadership regularly evaluates risk of COVID exposure to benefits to clients of in-person treatment.
Ability to Commute/Relocate:
San Francisco, CA 94114 (Required)
Education:
Bachelor's (Required)
License/Certification:
Registered Dietitian (Required)
Company's website:
thelotuscollaborative.com
Company's Facebook page:
https://www.facebook.com/TheLotusCollaborative
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",2.9,"The Lotus Collaborative, Inc.
2.9","San Francisco, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Physical Therapist,-1,"Imagine a place where your talent and expertise can make a meaningful difference in people’s lives, while enriching yours. Become a part of people’s stories of healing and recovery. Seize the opportunity to grow as a therapist and be a part of a successful, innovative practice.
Agile Physical Therapy is a growing, physical therapist-owned private practice providing therapy services for several locations throughout the San Francisco Bay Area.
Agile Physical Therapy provides evaluation and treatment of orthopedic and sports related injuries, hand therapy, women’s and men’s health. Our mission is to transform communities by optimizing movement to improve the human experience as it pertains to deficiencies in movement and pain. We strive to obtain patients’ goals through interventions that the patient, can understand and embrace, in a comfortable environment that exceeds the needs and expectations of each and every patient. We are looking for dedicated and experienced clinicians with strong manual skills interested in treating an active orthopedic patient population. We are a high-energy group of people who enjoy having fun while providing superior patient care.
From integrated on-site employer-based care at some of the area’s leading technology companies to collaborative physical therapy clinics located within group medical practices, we have several exciting opportunities available. Join our established and well-respected practice at one of our multiple locations in San Francisco, the Peninsula, and the South Bay regions.
At Agile you will be part of an energetic team who:
Provides premier, one-on-one individualized care to every patient.
Has access to state-of-the-art diagnostic and treatment equipment, a large exercise area, and an anti-gravity treadmill.
Is active in political advocacy for the physical therapy profession.
Provides opportunity for professional advancement through an on-site orthopedic residency program, manual therapy fellowship program, women’s health residency, as well as in-house and external continuing education opportunities.
Join our experienced staff of physical and occupational therapists with advanced certifications including OCS, SCS, ATC, CSCS, WCS, CHT, and FAAOMPT.
Competitive compensation and full benefits package offered, including health insurance, 401K, PTO, continuing education allowance, etc.
Agile has opportunities in the following locations:
Mountain View
Sunnyvale
Palo Alto
Fremont
San Carlos
San Mateo
JOB REQUIREMENTS:
Prefer minimum 2 years previous orthopedic and / or sports experience.
Advanced certification/training preferred (OCS, CSCS, etc)
Active CA licensure
Masters or Doctorate in Physical Therapy from an accredited institution
Strong interpersonal and clinical skills
Job Type: Full-time
Pay: $80,000.00 - $110,000.00 per year
COVID-19 considerations:
Willing to provide tele-health evaluation and treatment in addition to in-person.
Experience:
OP orthopedic: 2 years (Preferred)
Education:
Master's (Required)
License:
OCS (Preferred)
CA (Required)
Work Location:
One location
This Company Describes Its Culture as:
Innovative -- innovative and risk-taking
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Company's website:
www.agilept.com
Company's Facebook page:
https://www.facebook.com/agilephysicaltherapy",-1,Agile Physical Therapy,"San Francisco, CA",-1,1 to 50 Employees,2002,Company - Private,Health Care Services & Hospitals,Health Care,Less than $1 million (USD),-1
Warehouse Supervisor,-1,"WAREHOUSE SUPERVISOR
Burlingame, CA
Full-Time, Exempt
Benefited Position
*
We are looking for a responsible and experienced Warehouse Supervisor to join our team! As a Warehouse Supervisor, you will be responsible for ensuring the highest quality of work and maximizing the productivity of our warehouse.
We are Any Breakers, Inc. (ABI), a privately-held electrical products company headquartered in Northern California, growing at a dynamic rate… and upgrading our team so we can better partner with our customers to meet their electrical product needs in half the time.
Reporting to the WH Manager, you will be responsible for maintaining and overseeing inventory and supplies as well as the safety and security of the warehouse and supervision of staff.
Using progressive workflows, you will be the WH logistics expert in our Burlingame facility, executing on the tactical operations of running an efficient team:
Working alongside team members - pulling orders, receiving products, performing cycle counts, boxing, and Shipping Coordinator duties as business volume and operational needs dictate.
Nurturing a positive, team-oriented environment; ensuring all warehouse SOPs, 5S conditions, and Safety requirements are in place and followed.
Monitoring orders printed, ensuring orders are assigned to pullers and completed in a timely manner.
Ensuring parcel and LTL shipments are properly routed and processed; periodically performing random checks on outgoing shipments for accuracy, and making sure all orders are ready for pick up at the assigned time.
Ensuring that all end-of-day reporting has been completed and any required paperwork scanned as needed
Performing or assigning cycle counts daily and reporting results to the Warehouse Manager; ensuring proper receiving protocol is followed to allow for accurate receipts and stocking of inbound product.
Monitoring warehouse employee absences, tardies, etc., ensuring the timekeeping system is accurate. Approving time for payroll. Approving/rejecting time off requests; monitoring the team for productivity, including assigning tasks during downtime.
Performing disciplinary actions as required in coordination with HR and Warehouse Manager
Working closely with the Warehouse Manager, reporting any issues, and/or offering up ideas, suggestions for continuous improvement.
*
*
Job requirements and qualifications:
Must have 3 years experience as a warehouse supervisor (or a combination of 5 years experience in a warehouse supervisor and lead position)
Knowledge and experience with methods for QC processes
Proven ERP experience, able to manage inventory, analyze data and provide insights from data; competent with WH Processes & Logistics
Experience with WH set-up; working with multi-branch operations
Critical thinker and problem-solving skills; autonomous team player
Great time-management, interpersonal and communication skills
Our commitment to our employees:
Our leadership team is a group of talented individuals who take great pride in the organization’s dynamic growth and continued positive team environment. Our people are our most important “ingredient”.
We believe in and work diligently to hire the best and work just as hard to retain our top talent through reward and recognition for contributions. We believe in promoting from within and take great care to nurture our team members and set them up for success in whatever career path they choose to pursue.
We offer a variety of benefits including a competitive compensation package, training to support your growth, a health plan for you and qualified dependents, and a 401K program with a generous company match.
If you have the top 5 critical requirements and our profile sounds like a match for the next step in your career, please submit your resumé for immediate consideration and we will contact you.
ABI is an Equal-Opportunity Employer and proud to be a Drug-Free Workplace!
*
Job Type: Full-time
Pay: $62,000.00 - $72,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Supplemental Pay:
Bonus pay
COVID-19 considerations:
ABI maintains strict adherence to CDC health and safety guidelines on the job and at the worksite - providing proper PPE to all employees, maintaining cleaning, disinfection, and sanitizing measures to high-touch areas, limiting in-person traffic onsite.
Education:
High school or equivalent (Required)
Experience:
Warehouse Supervisor: 3 years (Preferred)
Warehouse Lead: 3 years (Preferred)
Typical start time:
8AM
Typical end time:
5PM
This Job Is:
A job for which military experienced candidates are encouraged to apply
Open to applicants who do not have a college diploma
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",-1,"Any Breakers, Inc.","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Registered/Orthodontic Dental Assistant,-1,"Our fast paced orthodontic office is seeking a Registered Dental Assistant (prior orthodontic chairside experience preferred). If you have a great attitude, a passion for providing excellent patient care AND you possess all of the following qualifications, please apply!
Qualifications:
* Must Be a quick learner!
* Team player who is self-motivated and who works well in a fast-paced environment
* Great customer service skills (especially with children and their parents)
* Warm, caring, positive attitude, and professional demeanor and appearance
* Must have a current x-ray license for the state of California
* Sterilization protocol (knowledge of OSHA and Infection Control)
* Must work occasional Saturdays
Please send your resume. Only qualified applicants will be contacted.
Job Type: Full-time
Benefits:
401(k)
Health insurance
Paid time off
Schedule:
Monday to Friday
Weekends
COVID-19 considerations:
We have masks, gowns, face shields, gloves, hand sanitizers, temperature scanners, protocols to protect our staff and patients.
Experience:
dental assisting: 1 year (Preferred)
Education:
High school or equivalent (Preferred)
License:
X-ray (Preferred)
Work Location:
Multiple locations
Clinical Setting:
Specialty Clinic
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",-1,Orthodontic Office,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Part-Time Retail Merchandiser - West-TERR127,-1,"Do you wish you had some flexibility for the days and time that you work? We are currently hiring people like you to join our team of Retail merchandisers that offer our customers the ability to reach most retailers everywhere in the United States.
Lawrence Merchandising Services (LMS) is a WIS International company is looking for candidates that would build and maintain strong relationships with in-store management and execute services at the retailers within their territory.
Perks
FLEXIBILITY! Most projects allow for “week of scheduling.” This means that you pick the day and time that works for your schedule. Available assignments range in length from 30 minutes to full day.
At LMS you are not an independent contractor, you are a W2 employee and receive all associated benefits such as an Employee Referral Bonus Program, voluntary health, vision, dental, short term disability, life insurance benefits, and 401(k) to those who qualify.
Weekly pay!
Requirements
Merchandising and/or retail experience preferred, but not required.
Availability to work a minimum of 12-15 hours and up to 20 hours per week based on business need.
Personal Smart Device Required (smart phone or tablet). Must have location services on for in-store reporting and able to photograph.
Merchandisers must be comfortable using our online reporting system.
Ability to thoroughly follow written and verbal instructions.
Access to internet and ability to receive voice messages via phone.
Must have reliable transportation. You will work in an assigned territory, travel and driving are essential to this position. Territory size can vary.
Ability to stand with varied movement for up to 5 hours at a time, ability to regularly lift up to 5 pounds (and up to 40 pounds on occasion), fine motor control (hand movements), speech, hearing, sight, ability to read documents with small font sizes, manual dexterity; with or without reasonable accommodation.",-1,LMS - Lawrence Merchandising Services,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Nursing Care Manager (RVT),-1,"Are you a Lead RVT or RVT Trainer that leads by example, taking pride in fostering growth and development with the staff? We are looking for a hands-on, upbeat Nursing Care Manager (aka- Lead RVT/Technician Manager) who loves spending time on the floor with the other technicians, not hidden away in an office. This person will train our staff to help our hospital drive high-quality service for our patients and clients!
As the Nursing Care Manager you will:
Using a positive and collaborative team-oriented approach to manage veterinary technical support staff; coaching and offering assistance when needed
Prepare and maintain the staffing schedule and assist in filling open shifts as needed
Monitor and coordinate the daily workflow and adjust staffing as needed for vacation coverage, CE, illness, and slow production days
Implement protocols relating to nursing care procedures, and partner with Nursing Care Director in the development of relevant and modern protocols
Implement, maintain, and improve our nursing care processes, work systems, and documents
Conduct all hiring, onboarding, and training of RVTs, VeterinaryAssistants and Animal Care Associates
Provide leadership, performance reviews, supervision, and coaching for your direct staff
Create, implement and maintain a formal training program for RVTs, DAs, and ACAs
Partner with Nursing Care Director to develop an in-house CE training program for nursing staff as well as to track outside CE pursued by staff
Provide staff development through teaching, mentoring, and training Implement recruiting and retention pipelining
Weekly meetings with the hospital leadership team and staff to assess the needs of the department and to implement policies, procedures, and standards of care
KNOWLEDGE AND SKILLS:
Must possess a working knowledge of veterinary nursing principles, methods, and procedures; emergency and critical care nursing experience; veterinary medical terminology and disease processes; hospital protocols; how to use and troubleshoot various pieces of medical equipment; principals of personnel management and supervision; effective methods of training, counseling, and coaching; and large scale scheduling
EDUCATION AND QUALIFICATIONS:
Bachelor’s degree and/or certificate from an AVMA accredited veterinary technology program required
Current RVT in CA or the ability to transfer a license to CA
At least five (5) years of work experience as a Veterinary Nursing Professional in an ER/ICU or Specialty Hospital and one to two years of veterinary technician management experience
Affection for animals and concern for their welfare
Experience in caring for and handling animals in a safe, effective, and humane manner
Ability to cover varied work assignments and schedules depending on the hospital and department needs
Ability to communicate in a professional, pleasant, respectful, and courteous manner at all times
Maturity, good judgment, and professional personal appearance
We are an Equal Opportunity Employer and welcomes applications from individuals who contribute to our diversity. We are an at-will employer and conduct pre-employment background checks and drug screening. The information provided in this position description is a snapshot that indicates the general nature and level of work to be performed. It is not a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.
Job Type: Full-time
Pay: $80,000.00 - $95,000.00 per year
Benefits:
401(k)
Dental insurance
Employee assistance program
Employee discount
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Day shift
Experience:
Registered Veterinary Technician: 5 years (Preferred)
Training: 3 years (Preferred)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
Achievement-oriented -- enjoys taking on challenges, even if they might fail
High stress tolerance -- thrives in a high-pressure environment
Work Remotely:
No",-1,Balancing Talent,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
